ID;English;Chinese Simplified;Chinese Traditional;Czech;Danish;German;Greek;Finnish;French;Iloko;Indonesian;Italian;Japanese;Korean;Netherlands;Norwege;Polish;Portugese;Spanish;Swedish;Tagalog
1200004238;Stoning;拿石头打死;拿石頭打死;KAMENOVÁNÍ;STENING;Steinigen;ΛΙΘΟΒΟΛΙΣΜΟΣ;Kivittäminen;Lapidation;PANANGUBOR;RAJAM, MERAJAM;Lapidazione;石打ち;돌로 침;STENIGEN;STEINING;KAMIENOWANIE;Apedrejamento;APEDREAR;STENING;PAGBATO
1200004240;Storax;安息香树;安息香樹;STYRAČ;STORAKSTRÆ;Storax;ΑΓΡΙΟΚΥΔΩΝΙΑ;Storaksipuu;Styrax;ESTORAKE;STORAKS;Storace;そごうこう樹;때죽나무;STORAXBOOM;STYRAKSTRE;STYRAKOWIEC;Estoraque;ESTORAQUE;STYRAXTRÄD;ESTORAKE
1200004241;Storehouse;仓库，库房;倉庫，庫房;ZÁSOBÁRNA;FORRÅDSHUS;Vorratshaus;ΑΠΟΘΗΚΗ;Varastohuone;Magasin;KAMALIG;GUDANG;Deposito;倉，倉庫;창고;VOORRAADSCHUUR;FORRÅDSHUS;SPICHRZ;Depósito;ALMACÉN, GRANERO;FÖRRÅDSHUS;IMBAKAN, KAMALIG
1200004242;Stork;鹳;鸛;ČÁP;STORK;Storch;ΠΕΛΑΡΓΟΣ;Kattohaikara;Cigogne;TIKBABOY;BANGAU;Cicogna;こうのとり;황새;OOIEVAAR;STORK;BOCIAN;Cegonha;CIGÜEÑA;STORK;SIGUANA
1200004243;Straight;直街;直街;PŘÍMÁ;LIGE, DEN;Gerade;ΕΥΘΕΙΑ;Suora;Droite;NALINTEG;LURUS;Diritta;まっすぐ;곧음;RECHTE, DE;RETTE, DEN;PROSTA, ULICA;Direita;RECTA;RAKA GATAN;TUWID
1200004244;Stranger;外人;外人;;FREMMED;Fremder;ΞΕΝΟΣ;Sivullinen;;SANGSANGAILI;ORANG LUAR;Estraneo;よそ人，よそ者;낯선 사람;;;OBCY;Estranho;EXTRAÑO;;TAGA-IBANG BAYAN
1200004245;Straw;麦秆;麥稈;SLÁMA;HALM;Stroh;;Olki;Paille;GARAMI;JERAMI;Paglia;わら;짚, 지푸라기;STRO;;SŁOMA;Palha;PAJA;HALM;DAYAMI
1200004246;Street;街;街;ULICE;GADE;Straße;;Katu;Rue, II;KALSADA;;Strada;街路，通り，ちまた;거리;STRAAT;GATE;ULICA;Rua;CALLE;GATA;LANSANGAN
1200004247;Strife;争执;爭執;ROZEPŘE;KIV, STRID;Streit;;;;RINGGOR;PERCEKCOKAN;Contesa;争い，闘争;분쟁;TWIST;STRID;WAŚŃ, ZWADA;Rixa;CONTIENDA;STRIDIGHETER;HIDWAAN
1200004248;Stringed Instrument;弦琴;弦琴;STRUNNÝ NÁSTROJ;HARPE;Saiteninstrument;ΕΓΧΟΡΔΟ;Kielisoitin;Instrument à cordes;PAGTOKAR NGA ADDA KUERDASNA;ALAT MUSIK BERSENAR;Strumento a corda;弦楽器;현악기;SNAARINSTRUMENT;STRENGEINSTRUMENT;INSTRUMENT STRUNOWY;Instrumento de cordas;INSTRUMENTO DE CUERDA;HARPA;PANUGTOG NA DE-KUWERDAS
